Fan,time,scale,mean_value,se_value
BVB Fans,0,Attentiveness,3.89247311827957,0.142839523438715
BVB Fans,0,Fear,1.73118279569893,0.148000899960703
BVB Fans,0,Hostility,1.3763440860215,0.135856005965722
BVB Fans,0,Negative Affect,1.56774193548387,0.136025542887079
BVB Fans,0,Positive Affect,3.70046082949309,0.101849225871417
BVB Fans,0,Self-Assurance,2.86559139784946,0.131941515871376
BVB Fans,1,Attentiveness,4.31182795698925,0.0913662184354753
BVB Fans,1,Fear,1.97849462365591,0.137771549059373
BVB Fans,1,Hostility,1.34408602150538,0.0891133424685219
BVB Fans,1,Negative Affect,1.70645161290323,0.104617632909107
BVB Fans,1,Positive Affect,4.05069124423963,0.0968107604091474
BVB Fans,1,Self-Assurance,2.98924731182796,0.122434359042923
BVB Fans,2,Attentiveness,3.20430107526882,0.159657203986878
BVB Fans,2,Fear,1.40322580645161,0.0831626185252444
BVB Fans,2,Hostility,1.81182795698925,0.170167872607066
BVB Fans,2,Negative Affect,1.80645161290323,0.102436498438198
BVB Fans,2,Positive Affect,2.04147465437788,0.111485185583809
BVB Fans,2,Self-Assurance,2.43010752688172,0.119180343238137
BVB Fans,3,Attentiveness,3.44086021505376,0.140307817237896
BVB Fans,3,Fear,1.40322580645161,0.0736382523366191
BVB Fans,3,Hostility,1.22043010752688,0.0580379602089929
BVB Fans,3,Negative Affect,1.33225806451613,0.0716003088799419
BVB Fans,3,Positive Affect,2.86635944700461,0.151350512279614
BVB Fans,3,Self-Assurance,2.80645161290323,0.132546237326765
FCB Fans,0,Attentiveness,4.01666666666667,0.173500257006399
FCB Fans,0,Fear,1.68333333333333,0.151454932211626
FCB Fans,0,Hostility,1.125,0.0525309710930286
FCB Fans,0,Negative Affect,1.42,0.0944791817781763
FCB Fans,0,Positive Affect,4.15714285714286,0.155769804546943
FCB Fans,0,Self-Assurance,2.96666666666667,0.138179474783565
FCB Fans,1,Attentiveness,4.06666666666667,0.204624888586994
FCB Fans,1,Fear,2.09166666666667,0.182363864149037
FCB Fans,1,Hostility,1.34166666666667,0.127087827070391
FCB Fans,1,Negative Affect,1.83,0.175334267224516
FCB Fans,1,Positive Affect,3.54285714285714,0.206396113170007
FCB Fans,1,Self-Assurance,2.7,0.139757517660733
FCB Fans,2,Attentiveness,3.83333333333333,0.194214567542227
FCB Fans,2,Fear,1.26666666666667,0.0698787588303664
FCB Fans,2,Hostility,1.05833333333333,0.0347821120928193
FCB Fans,2,Negative Affect,1.205,0.0591496763349244
FCB Fans,2,Positive Affect,4.55,0.127890846987917
FCB Fans,2,Self-Assurance,3.51666666666667,0.191904886285152
FCB Fans,3,Attentiveness,3.28333333333333,0.187745940067145
FCB Fans,3,Fear,1.25,0.108485048960459
FCB Fans,3,Hostility,1.075,0.0255781110733742
FCB Fans,3,Negative Affect,1.155,0.0591496763349244
FCB Fans,3,Positive Affect,3.21428571428571,0.204277564378153
FCB Fans,3,Self-Assurance,2.78333333333333,0.139495750212992
